fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,enableIR,rtBothAuto,isLayer2Only,vrfDhcp3,vrfDhcp2,dhcpServerAddr3,gatewayIpV6Address,dhcpServerAddr2,dhcpServerAddr1,tag,nveId,vrfDhcp,secondaryGW4,vlanId,gatewayIpAddress,vlanName,mtu,intfDescription,mcastGroup,trmEnabled
SoAZ-PHX,NA,PDU-MGMT,30074,Default_Network_Universal,Default_Network_Extension_Universal,PDU-MGMT,,false,,,,false,false,false,true,,,,,,,12345,1,,,3960,,,,,239.1.1.63,false
SoAZ-PHX,NA,ic-nfs-1687,30049,Default_Network_Universal,Default_Network_Extension_Universal,ic-nfs-1687,,false,,,,false,false,false,true,,,,,,,12345,1,,,1687,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-Dev-Applications,30012,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Dev-Applications,,false,,,,false,false,false,true,,,,,,,12345,1,,,400,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-Backbone-Subnet,30001,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Backbone-Subnet,,false,,,,false,false,false,true,,,,,,,12345,1,,,200,,ADOT-Backbone-Subnet,,,239.1.1.0,false
SoAZ-PHX,NA,ADE-ClientsDataCenter,30712,Default_Network_Universal,Default_Network_Extension_Universal,ADE-ClientsDataCenter,,false,,,,false,false,true,true,,,,,,,12345,1,,,712,,ADE-ClientsDataCenter,,,239.1.1.66,false
SoAZ-PHX,NA,ADOT-dt-aws-FW-CONN,30028,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-aws-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,1649,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADE-Servers-DMZ,30754,Default_Network_Universal,Default_Network_Extension_Universal,ADE-Servers-DMZ,,false,,,,false,false,true,true,,,,,,,12345,1,,,754,,ADE-Servers-DMZ,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-MF-to-Zcloud-2,30170,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-MF-to-Zcloud-2,,false,,,,false,false,false,true,,,,,,,12345,1,,,452,,,,,239.1.1.70,false
SoAZ-PHX,NA,ADOT-MF-to-Zcloud-1,30151,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-MF-to-Zcloud-1,,false,,,,false,false,false,true,,,,,,,12345,1,,,451,,,,,239.1.1.71,false
SoAZ-PHX,NA,ADOT-MF-to-Zcloud-4,30171,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-MF-to-Zcloud-4,,false,,,,false,false,false,true,,,,,,,12345,1,,,454,,,,,239.1.1.72,false
SoAZ-PHX,NA,ADOT-MF-to-Zcloud-3,30155,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-MF-to-Zcloud-3,,false,,,,false,false,false,true,,,,,,,12345,1,,,453,,,,,239.1.1.73,false
SoAZ-PHX,NA,ic-data-servers-1690,30051,Default_Network_Universal,Default_Network_Extension_Universal,ic-data-servers-1690,,false,,,,false,false,false,true,,,,,,,12345,1,,,1690,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-MF-to-Zcloud-6,30173,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-MF-to-Zcloud-6,,false,,,,false,false,false,true,,,,,,,12345,1,,,456,,,,,239.1.1.75,false
SoAZ-PHX,NA,ic-dmz-1691,30052,Default_Network_Universal,Default_Network_Extension_Universal,ic-dmz-1691,,false,,,,false,false,false,true,,,,,,,12345,1,,,1691,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-MF-to-Zcloud-5,30172,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-MF-to-Zcloud-5,,false,,,,false,false,false,true,,,,,,,12345,1,,,455,,,,,239.1.1.77,false
SoAZ-PHX,NA,dt-yumacc-FW-CONN,30099,Default_Network_Universal,Default_Network_Extension_Universal,dt-yumacc-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,159,,,,,239.1.1.78,false
SoAZ-PHX,NA,ADOT-az-data,30143,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-az-data,,false,,,,false,false,false,true,,,,,,,12345,1,,,2028,,,,,239.1.1.79,false
SoAZ-PHX,NA,ADOT-Server-Network-primary,30006,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Server-Network-primary,,false,,,,false,false,false,true,,,,,,,12345,1,,,230,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-Datacenter-201,30002,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Datacenter-201,,false,,,,false,false,false,true,,,,,,,12345,1,,,201,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADE-Servers-Training,30740,Default_Network_Universal,Default_Network_Extension_Universal,ADE-Servers-Training,,false,,,,false,false,true,true,,,,,,,12345,1,,,740,,ADE-Servers-Training,,,239.1.1.0,false
